Sample_ID,TP53 (ENSG00000141510),EGFR (ENSG00000146648),BRCA1 (ENSG00000012048),MYC (ENSG00000136997),GAPDH (ENSG00000111640),KRAS (ENSG00000133703),CDKN2A (ENSG00000147889),PTEN (ENSG00000171862),PIK3CA (ENSG00000121879),BRAF (ENSG00000157764)
ACH-000762,3.087462841,6.851749041,4.557042415,6.191404729,12.31109549,3.947666157,7.37303913,4.574707046,3.304511042,3.049630768
ACH-000495,4.866907978,6.467116418,4.446917865,5.966937979,13.12907368,3.786596362,3.727920455,3.718087584,3.078951341,2.589763487
ACH-001862,0.855989697,4.668459557,3.658782734,5.298658316,11.6750308,4.584962501,5.897966432,5.129695157,3.464668267,2.324810603
ACH-000834,6.086189313,5.209453366,2.95419631,6.294069295,10.8271839,2.763411574,1.416839742,4.578938713,2.09423607,2.675815931
ACH-000981,6.6441447,1.042644337,4.456149035,7.717744958,12.78961515,4.04176865,8.032817163,6.888134388,2.981852653,3.504620392
ACH-001642,0.516015147,0.0,2.950468414,5.56924803,11.27839138,2.107687869,6.425425735,5.62935662,1.438292852,1.411426246
ACH-001020,5.385776138,0.310340121,4.353323291,6.394376945,12.43295941,3.386810946,5.154210531,4.151371776,3.890446693,2.392317423
ACH-001799,6.413289427,4.694880193,4.171527106,7.263410059,11.66404722,3.439623138,5.420886575,3.698218478,3.377123749,1.922197848
ACH-001425,3.537296067,1.761285273,1.207892852,3.6622055,9.205011221,1.042644337,6.980368105,2.521050737,0.887525271,1.427606173
ACH-001100,4.967168608,0.0,2.959770155,5.502712486,11.73564064,1.883620816,7.442031159,4.332707934,1.339137385,2.211012193
ACH-000652,4.860962798,5.412781525,5.263785614,6.907251224,12.15323534,4.405311683,3.726831217,4.592158002,3.324810603,2.713695815
ACH-001400,3.228049048,3.638073837,1.416839742,2.570462931,8.696654619,1.286881148,5.319762428,2.811471031,1.286881148,0.948600847
ACH-001119,4.87774425,0.0,3.521050737,6.974988112,11.49894891,3.991861931,0.124328135,4.767125077,3.0721058,2.9800253
ACH-001450,6.235918488,0.0,4.3305584,8.610212822,11.4236412,3.397802962,6.567880042,6.313427266,2.752748591,3.021479727
ACH-001520,5.754620312,0.0,2.887525271,5.592158002,11.94818469,1.443606651,3.370164281,5.859472667,2.358958826,2.750606505
ACH-001622,4.677508242,3.588564737,3.272023189,3.135863165,12.48869374,2.935459748,0.0,5.315421316,3.304511042,2.422233001
ACH-001849,4.228049048,5.014801602,2.931683057,10.54003115,11.08673335,3.320484678,0.584962501,4.15704371,2.077242999,2.737686761
ACH-001033,5.283921772,0.028569152,3.713695815,6.386466093,12.92180375,3.888499736,2.604071324,4.758622982,2.957914599,2.545968369
ACH-000660,6.811471031,0.739848103,6.450716389,6.567575869,13.06110113,5.170325694,6.132576843,6.461070114,3.749534268,3.586164246
ACH-000813,5.13627343,4.75595577,5.231509211,6.113325443,12.76150968,2.675815931,8.985101904,4.723558561,2.531069493,3.337711092
ACH-001143,1.321928095,0.014355293,1.117695043,3.196921734,10.20163386,2.182692298,5.322649262,3.921245889,0.739848103,1.15704371
ACH-001411,3.099295204,9.421770309,4.732811872,5.816087659,11.00569472,3.817623258,0.042644337,4.690975738,3.504620392,2.765534746
ACH-001196,5.509062386,0.584962501,5.147306699,0.790772038,11.26684509,3.951401292,3.714795011,2.150559677,2.869871406,1.757023247
ACH-001239,5.177917792,0.765534746,4.750070486,6.451046223,12.18865066,2.857980995,1.292781749,3.333423734,3.824767853,3.288358562
ACH-000741,3.838951767,10.10839377,3.240314329,3.463360886,10.92355034,4.118525849,6.445594291,4.792334806,3.269033146,3.192194165
ACH-001068,5.69543711,0.0,3.56193706,7.272023189,12.58009365,3.878725341,0.189033824,3.996388746,1.350497247,2.528571319
ACH-000723,3.201633861,7.131856961,4.514753498,5.60496087,12.11126611,3.816599707,5.732540561,4.397118409,3.061776198,2.596935142
ACH-001634,5.040892431,0.0,2.925999419,4.214124805,13.46620395,2.895302621,6.592457037,5.338780944,2.750606505,2.629939409
ACH-001028,4.880195729,3.907852072,2.503348735,5.728736843,11.50327916,2.327687364,2.754887502,3.378511623,1.560714954,1.879705766
ACH-001853,5.216066783,7.435045131,3.617063344,6.436961338,11.1438296,3.499527024,0.0,4.767125077,2.765534746,3.698218478
ACH-001791,4.754887502,1.084064265,1.389566812,5.078951341,11.6313135,3.802193217,8.790120385,4.92314918,1.475084883,1.90303827
ACH-001184,5.577126661,0.321928095,4.318316841,3.642701572,11.1048608,4.088311236,3.077242999,2.944858446,2.538538164,2.381283373
ACH-001485,5.202417722,0.014355293,3.606442228,5.987320866,11.80654962,2.742006211,3.864928972,5.182692298,3.270528942,2.948600847
ACH-000608,1.744161096,6.096135325,3.981852653,4.605849867,11.63938593,4.587364991,6.468909092,4.723558561,3.224966365,3.353323291
ACH-001702,5.386466093,4.181897643,4.402585758,5.044831233,11.74965996,3.812498225,0.0,3.956985925,2.731183242,2.792855352
ACH-001563,4.957914599,4.075532631,4.005399988,5.694601653,12.23218106,3.806324057,1.124328135,4.152994605,3.862947248,2.817623258
ACH-000529,5.639232163,4.354028938,4.079804755,5.092545742,11.99251354,4.514753498,5.301953395,4.947198584,3.850999395,3.363171077
ACH-001560,6.295171992,6.277426897,3.645009884,6.730232357,11.70968696,4.056583528,0.0,4.625854931,2.929790998,2.875780063
ACH-001050,5.822985019,4.72900887,4.507160349,6.200653436,12.06309168,3.49441561,0.0,3.914564523,2.229587923,2.344828497
ACH-001431,5.896271849,0.014355293,5.23227701,7.09434165,11.74894755,3.124328135,0.0,1.735522177,3.150559677,3.626439137
ACH-000958,6.710944155,6.664056113,4.603477988,8.586164246,11.36353249,4.303050085,1.510961919,5.910972452,3.721372659,4.284662185
ACH-001392,1.799087306,0.22650853,0.622930351,3.714795011,12.37183108,3.08236197,3.0721058,5.073391816,1.495695163,2.13422094
ACH-000772,6.214707673,0.765534746,4.809928866,6.237257771,12.1091777,5.871104374,4.004501392,4.936402378,2.99095486,4.095080492
ACH-001163,5.980482356,1.967168608,4.539158811,6.796623709,11.55281317,4.357552005,0.526068812,4.685379552,3.631104282,2.809414444
ACH-001664,5.763411574,5.77452353,4.975905274,7.132268366,12.08610304,3.942983598,5.753818443,4.66732447,3.275007048,2.480265122
ACH-001060,6.185073638,0.028569152,6.095502518,7.818901676,12.45203527,4.987775616,4.913607512,5.189033824,2.655351829,3.212569339
ACH-001316,6.162492037,6.052241981,5.102658131,6.932037542,12.13996696,4.574101508,5.726558779,4.34553831,3.264536431,3.140778656
ACH-001054,4.168321116,0.0,4.160274831,9.504143652,10.61664073,4.040015679,0.948600847,3.364572432,2.797012978,2.811471031
ACH-001638,6.140369671,0.014355293,3.544732656,6.485265803,11.17841587,3.40599236,3.87774425,4.628190335,3.738767837,3.959770155
ACH-000318,4.87774425,4.657068301,4.154615611,5.567119488,12.32881515,3.503348735,0.879705766,5.04745114,4.221877081,2.375734539
ACH-000820,3.833902077,2.147306699,5.335569006,6.697245609,10.92585111,4.432291338,2.077242999,4.93593114,2.416839742,2.03562391
ACH-000686,4.894817763,4.17951105,4.256255873,5.3305584,12.78295727,3.658782734,7.448735798,5.91981677,2.941106311,3.783456654
ACH-001497,4.792334806,2.545968369,2.956056652,6.878234879,12.26470648,2.510961919,6.510170751,5.342341397,2.715893371,2.025028794
ACH-001844,5.420886575,5.659639187,4.672425342,6.142209191,12.69213598,3.688180359,0.0,3.196921734,2.625270489,2.250961574
ACH-001735,5.869377924,0.0,4.736604875,7.777353958,11.36265618,4.233427944,8.0069151,5.59484709,3.399171094,3.56315813
ACH-001300,5.726831217,2.056583528,5.202809492,8.286141873,12.41874865,4.64731451,2.032100843,5.947432389,2.82374936,2.885574364
ACH-001147,4.503984704,0.0,3.555816155,6.1129086,12.02876942,3.758089934,4.631686366,5.445925299,2.341985747,2.657640005
ACH-000899,5.771885579,1.097610797,4.493775408,4.650764559,12.08367876,3.82374936,0.855989697,5.419201774,3.408711861,3.204766751
ACH-001790,4.742006211,2.707082992,4.308156975,6.620733018,11.89318775,3.701549057,6.03496399,2.957914599,3.241840184,3.365972428
ACH-000437,5.709842019,5.583759754,4.977737849,5.298658316,12.57959879,3.680324357,1.286881148,1.244887059,3.372952098,3.714795011
ACH-001416,5.650190124,4.187451054,4.297191417,5.590362488,11.34129643,4.955126781,5.323370069,4.514753498,3.787641414,4.498250868
ACH-001632,5.053111336,1.459431619,2.857980995,5.186659017,12.46768196,2.432959407,0.0,7.175524601,2.039138394,2.513490746
ACH-001653,5.336997417,4.581953751,3.026800059,6.599020177,10.76834976,3.688180359,6.808899839,4.859472667,2.241840184,2.763411574
ACH-001835,5.222650022,5.457134594,2.773996325,5.743622676,11.52825874,4.073820233,4.638073837,3.480265122,2.523561956,2.780310099
ACH-001396,2.837943242,0.0,3.595742339,5.438958148,11.7984718,1.831877241,3.324810603,4.458119481,1.673556424,1.50589093
ACH-001430,6.807226104,0.941106311,4.759688488,7.018589668,12.2142584,3.996388746,0.111031312,3.817623258,3.673556424,3.634593268
ACH-001677,6.827565007,0.0,4.915998852,6.880685525,11.24739352,4.894817763,1.316145742,6.60659028,3.838951767,3.211012193
ACH-001232,6.083000566,4.697662633,3.852997588,4.849999259,12.52287573,4.161081482,7.559491813,0.50589093,4.486714373,2.680324357
ACH-000716,5.453846774,4.266036894,5.442280035,6.141187525,12.56312476,4.425593578,6.600656308,4.788685711,3.244887059,3.386810946
ACH-001751,5.240314329,2.845991771,2.941106311,5.71616783,11.77840572,4.437627248,4.181102551,3.545968369,2.589763487,1.819668184
ACH-001555,6.569399948,5.921245889,2.558267634,6.14363831,11.81141483,3.997292408,0.070389328,4.428946345,3.404630684,3.74092756
ACH-001818,4.713145902,4.904965719,1.416839742,4.843983844,12.0098636,4.218781168,3.582556003,4.994579724,3.655351829,2.678071905
ACH-000502,2.513490746,4.433627167,3.885574364,5.304511042,11.53104024,5.063934306,0.632268216,5.514753498,3.924099886,2.698218478
ACH-001540,4.221103725,3.735522177,1.124328135,3.715893371,11.5282099,2.790772038,7.277054876,3.837943242,1.722466024,2.010779839
ACH-001607,3.017921908,5.795195491,4.46139759,6.569399948,11.96971028,9.440889926,8.836618482,5.354028938,3.121015401,3.240314329
ACH-000677,5.816599707,5.451540833,5.990501111,6.592905474,11.91333824,3.710393192,1.137503524,4.533563348,2.3305584,3.212569339
ACH-001414,3.371558863,5.586764743,3.030336078,7.514516816,11.65535183,3.890446693,0.070389328,5.642701572,2.765534746,3.384049807
ACH-000469,4.859472667,5.934752371,4.308156975,5.038260575,12.30580526,4.115199749,1.367371066,5.428946345,3.94204526,4.416839742
ACH-001031,5.528883827,1.782408565,3.688180359,5.722192761,11.79173269,4.267535798,2.49057013,4.188242656,2.367371066,2.211012193
ACH-001057,6.622198279,0.0,5.211790976,7.394719913,12.26455989,3.736604875,0.0,4.583158004,3.654206378,3.618238656
ACH-001134,6.121844298,0.014355293,3.724650272,4.502075956,12.64691866,2.217230716,0.084064265,5.501439145,2.017921908,3.203201156
ACH-001391,4.957450336,4.687060688,4.761285273,8.54063178,11.35606676,4.076388069,0.150559677,4.884109451,3.651912745,3.068670811
ACH-001407,5.232660757,4.652486495,5.323370069,6.532316959,12.30226764,4.416839742,7.094130482,4.083213368,3.434294618,4.480265122
ACH-000991,6.229203358,4.685379552,5.454504938,6.770961155,11.18809426,4.869871406,6.501439145,5.179112901,4.256255873,3.77925972
ACH-001736,5.618825953,0.0,4.0721058,7.092334311,10.68229237,4.403949364,4.605257263,5.848247353,3.59812696,3.106013238
ACH-002011,4.885574364,0.956056652,5.148934105,6.907491593,11.15955603,3.566815154,2.815575429,4.802193217,2.851998837,2.904965719
ACH-001041,4.63691458,0.189033824,4.409390936,7.045158982,10.4252159,4.442280035,4.279471296,3.7473874,3.635754391,3.267535798
ACH-001628,2.361768359,5.319762428,4.607626221,6.108942569,11.65611198,3.815575429,6.970738639,4.021479727,3.111031312,3.044394119
ACH-001433,2.702657543,6.484299281,3.560714954,5.590961241,11.03953598,2.204766751,5.837691,3.960697039,1.914564523,2.480265122
ACH-001061,5.295355693,4.440952198,4.657068301,6.358783048,12.29975179,4.69265037,0.150559677,4.904484098,2.531069493,2.883620816
ACH-001328,4.148120631,7.662276721,4.47118746,5.706254254,11.54588152,3.174725988,0.815575429,4.483493351,3.589763487,1.937344392
ACH-001344,5.753551055,5.336283388,1.98550043,6.843104497,12.69058733,3.904965719,1.077242999,5.004051885,3.416839742,3.224966365
ACH-001530,5.339137385,4.35473424,3.469885976,4.441616269,12.10450047,5.250203657,2.927896454,5.115615931,2.22342255,2.307428525
ACH-001128,6.234194723,4.683696454,4.836429131,6.286511558,11.93763129,3.734438666,2.981852653,3.971773447,2.972692654,3.09085343
ACH-001335,4.59454855,5.500164679,4.712045449,5.063502942,11.17073879,3.061776198,6.897361452,5.71616783,2.937344392,2.448900951
ACH-000567,6.936755705,0.807354922,6.107269394,9.051752739,11.73454028,4.838951767,7.222070355,6.01189812,4.851499202,4.329123596
ACH-001301,5.778208576,1.510961919,5.392660881,0.176322773,11.95677544,4.5360529,1.847996907,5.316145742,4.06091205,2.641546029
ACH-001030,5.784242222,1.89917563,4.333423734,6.531849286,13.15805737,4.675815931,0.111031312,4.37920506,3.163498732,2.632268216
ACH-001857,4.473137488,4.376429311,3.495695163,6.71685375,11.6169623,4.393690764,7.34029521,3.618238656,2.498250868,2.295723025
ACH-001402,4.981396032,5.711494907,5.282439805,4.406672716,13.70336289,5.278728213,7.92011462,4.425593578,3.337711092,3.765534746
ACH-001459,2.327687364,1.622930351,2.15704371,5.523248293,11.75292417,3.711494907,2.565597176,4.161887682,1.757023247,1.739848103
ACH-001557,5.257764969,5.535119822,4.824767853,5.319039816,12.46147945,4.615887074,0.0,4.122672719,4.063502942,3.209453366
ACH-001278,4.985044962,0.250961574,3.99095486,6.487840034,11.16603752,4.767125077,4.182692298,6.006298024,3.418189948,3.389566812
ACH-001856,5.504302583,4.135863165,4.173926932,6.434795004,12.51353022,3.912649865,0.0,4.77030049,1.704871964,2.247927513
ACH-001484,5.739578112,0.042644337,4.209453366,6.694880193,12.27219236,4.570462931,2.448900951,4.70763522,3.237257771,2.994579724
ACH-001510,2.080657663,4.020591095,1.669026766,4.452858965,11.58810558,2.257010618,6.215484464,5.047887329,1.49057013,1.389566812
ACH-001650,4.579542225,5.723012396,4.972692654,4.883620816,12.19703235,3.880685525,7.861273048,4.917431755,3.707082992,2.773996325
ACH-001067,5.989593185,3.244887059,4.384049807,7.335211682,11.63226822,4.228818691,2.855989697,5.09085343,3.61117238,2.711494907
ACH-001322,5.805292456,1.970853654,4.716990894,4.377123749,11.97183091,4.311067102,6.236301267,4.388189537,3.485426827,2.851998837
ACH-000484,5.630230716,6.408542042,4.063502942,7.302136235,11.90501086,2.916476644,8.065604622,4.873321063,3.09423607,2.541019153
ACH-000516,5.713970692,3.867896464,4.241840184,5.373648211,12.87396311,4.584361253,6.116239979,4.833902077,5.34553831,2.726831217
ACH-001302,4.39848719,0.799087306,5.103077947,1.124328135,11.69648945,4.574101508,0.687060688,3.574101508,3.438292852,2.82374936
ACH-001106,7.72955277,0.124328135,5.324810603,7.104755987,12.35358795,3.798050515,7.180207548,4.934988202,3.393690764,3.040892431
ACH-001461,3.904002316,1.565597176,2.386810946,6.151980551,11.47395937,2.673556424,2.370164281,4.590961241,1.650764559,1.967168608
ACH-001275,5.578032972,3.211012193,4.341274184,6.576975554,11.74634636,3.869871406,3.033863452,4.440287821,3.587364991,3.09592442
ACH-000726,3.758089934,5.111031312,4.339850003,7.288266268,10.94060725,3.746312766,1.304511042,4.675815931,4.718635616,2.94673086
ACH-001277,6.160073098,6.244506551,4.443606651,7.249824549,11.33226038,4.283921772,3.401903472,4.297191417,3.557042415,3.289834465
ACH-000949,6.269033146,3.749534268,4.601696516,7.279192684,12.01670384,5.405311683,6.331454428,5.56315813,3.626439137,3.075532631
ACH-001279,6.350143602,2.695993813,4.905447179,6.362820526,11.1586728,4.545968369,3.514753498,4.383358695,3.502075956,3.627606838
ACH-001645,5.604664415,0.056583528,3.646162657,7.022478785,13.62616532,4.462052319,0.0,4.475733431,3.518535139,4.310340121
ACH-001624,5.308885057,4.172327492,3.353323291,4.245647774,12.59637614,2.875780063,0.0,4.51412226,2.392317423,2.831877241
ACH-001303,5.297191417,1.981852653,4.120186028,0.014355293,12.20652602,4.196921734,0.757023247,4.436961338,2.192194165,2.516015147
ACH-001568,0.124328135,0.070389328,2.952333566,3.86393845,12.35579155,2.378511623,5.835671479,2.545968369,1.959770155,2.384049807
ACH-001750,6.106432078,4.595145568,3.670160514,4.831370588,11.60506276,4.82984956,0.641546029,4.228049048,3.629939409,2.839959587
ACH-000439,3.565597176,0.070389328,4.109360559,8.66035251,11.99862569,3.166715445,3.700439718,5.28503225,2.763411574,2.698218478
ACH-002016,5.672990994,4.802710219,4.287620044,6.301221805,12.29980902,3.784503983,3.713695815,4.311067102,2.629939409,2.684818738
ACH-000206,6.99424028,0.042644337,4.922197848,6.821965266,12.25547123,3.161887682,3.681449265,3.868884273,3.969012308,3.533563348
ACH-001283,2.56315813,1.028569152,4.356848079,7.273702369,12.40886044,3.775050541,0.584962501,3.424922088,2.867896464,2.518535139
ACH-002001,5.397460726,1.286881148,4.151371776,3.679198571,12.21953157,3.821710215,2.372952098,4.242602506,3.35614381,3.618238656
ACH-001270,6.000676105,4.610581958,4.058316496,6.363171077,12.3392933,4.257764969,7.282995721,4.341985747,2.61117238,2.750606505
ACH-001183,5.535119822,5.495695163,5.337354299,6.762083004,12.01708677,4.331991778,0.0,4.361066489,3.518535139,2.780310099
ACH-001336,4.689299161,5.502712486,3.61117238,5.882153917,11.21844215,3.266036894,7.612426224,3.832890014,2.250961574,2.613531653
ACH-002005,3.784503983,0.604071324,4.815063017,6.262658655,11.92284453,4.824258697,3.905928478,4.661635602,2.891419187,2.871843649
ACH-001458,5.456149035,2.833902077,3.243364426,6.508270176,11.68216067,3.246408087,0.443606651,5.204375511,2.498250868,2.316145742
ACH-000917,4.938285792,5.328764672,4.603477988,6.00495076,11.64777319,3.797012978,5.430285273,5.242221395,2.885574364,2.675815931
ACH-001651,5.08236197,5.207111961,3.247927513,4.300855871,12.32133624,3.166715445,8.037492045,4.334854269,2.650764559,2.084064265
ACH-002003,4.733896605,1.13093087,3.698218478,3.080657663,12.27525154,4.266036894,2.257010618,4.236492618,3.124328135,3.667892125
ACH-000489,5.769507291,4.496973581,3.853995647,6.758489739,10.8720592,4.292045492,5.323370069,4.39848719,2.817623258,3.111031312
ACH-001559,5.905206469,5.247547807,4.869377924,5.923386916,12.21856324,3.851998837,0.028569152,4.532316959,3.649615459,2.833902077
ACH-001280,5.632268216,0.545968369,3.826802684,5.909053017,11.69405312,4.890446693,6.208868371,4.09423607,2.784503983,2.952333566
ACH-001556,3.544732656,4.501439145,5.276124405,6.885818372,11.95455985,5.240314329,0.0,4.469885976,4.690417096,3.257010618
ACH-000002,2.596935142,0.23878686,3.85698569,8.784831117,11.18926862,2.580145484,4.185073638,4.187451054,1.925999419,2.3950628
ACH-001132,4.762880293,0.014355293,4.596935142,5.977966758,12.71816895,5.935695463,3.173127433,5.058316496,3.742006211,3.280956314
ACH-001034,6.570159302,0.0,4.981396032,6.869007702,11.85972889,4.723012396,0.432959407,4.395748328,3.645009884,3.212569339
ACH-000230,3.956056652,4.339850003,1.350497247,4.621758857,12.74323556,3.102658131,4.37920506,4.233427944,3.231125158,2.5360529
ACH-001715,0.23878686,3.496973581,4.276496666,5.902797158,12.72928085,4.489928219,0.0,4.736604875,4.195347598,2.718087584
ACH-000197,7.108210793,0.641546029,5.408711861,6.149340669,12.05015475,3.960697039,5.655638049,7.452611907,3.646162657,3.580145484
ACH-001521,2.657640005,6.16711703,5.60940039,7.577202209,11.47558145,4.810957159,5.412781525,4.397118409,3.385431037,2.673556424
ACH-000649,4.065227623,5.373996142,4.938756261,5.956985925,12.08111723,4.343407822,0.150559677,3.192194165,3.698218478,3.102658131
ACH-001802,5.19061486,3.615887074,3.595742339,5.555816155,12.58301223,3.675815931,5.233044401,4.029452886,3.279471296,2.313245852
ACH-001554,4.85847839,0.344828497,4.925999419,6.394891366,11.37411572,3.482848283,4.23572706,4.715893371,2.678071905,2.718087584
ACH-000970,6.090218302,6.440453944,4.469234794,5.846744023,12.11120089,4.764473551,5.824258697,5.034743949,3.257010618,3.263034406
ACH-001494,5.023255352,3.378511623,1.613531653,3.182692298,11.20957521,3.62058641,0.0,4.792334806,2.419538892,1.918386234
ACH-001538,5.789207575,4.787118983,3.430285273,7.173926932,11.92329034,5.593353771,7.039357765,5.733083132,3.760220946,2.948600847
ACH-000626,4.324810603,0.941106311,5.5055734,2.801158656,11.15000109,4.344828497,5.769242795,5.981624361,3.840966704,3.884597921
ACH-000125,4.986865972,4.10349764,4.216454865,4.987320866,11.95466889,4.783980414,3.870857864,5.255878353,3.812498225,3.224966365
ACH-001109,6.470536865,2.98550043,4.718635616,6.758089934,11.11984896,6.066304502,3.404630684,4.475733431,3.522306893,3.250961574
ACH-001111,3.757023247,0.028569152,3.411426246,6.143842354,12.57319746,2.861955364,6.912410354,5.664767255,1.250961574,1.790772038
ACH-000271,5.233427944,0.411426246,5.336283388,7.615225,12.56545914,3.177917792,6.763809907,5.943452539,2.381283373,3.651912745
ACH-001289,5.106013238,1.827819025,3.820689561,0.933572638,11.20634286,4.554588852,4.385431037,4.923624611,3.165107985,2.819668184
ACH-001670,6.600061566,0.056583528,4.213347282,8.150915026,11.84999144,3.277984747,0.0,1.673556424,2.601696516,2.799087306
ACH-001567,5.506843099,2.13422094,4.418189948,4.093391153,12.52625469,3.109360559,0.584962501,4.102658131,2.336283388,2.629939409
ACH-001536,4.008092421,4.679761574,1.459431619,5.62935662,12.17835362,3.044394119,0.0,4.22650853,2.060047384,1.500802053
ACH-000765,6.3305584,0.765534746,4.697662633,5.910252963,12.14532718,4.990501111,6.782801688,4.742545234,3.547203025,4.15704371
ACH-001368,5.025471815,1.599317794,4.297925053,5.943686952,12.16898544,4.0721058,4.622930351,4.325530332,2.671293372,2.906890596
ACH-001038,6.152386258,0.263034406,4.668459557,6.216842843,11.59567708,3.653060017,0.070389328,4.452858965,3.766595162,3.451540833
ACH-001380,5.755421735,5.23878686,4.361066489,6.503030646,11.94562672,3.283921772,5.530133184,3.812498225,2.682573297,2.485426827
ACH-001353,3.061776198,4.93593114,1.799087306,5.155020578,10.99258434,3.798050515,1.500802053,4.381283373,3.63691458,2.9800253
ACH-002004,5.236875245,1.914564523,3.842978832,5.777156666,12.69601121,3.553360503,0.0,3.943921327,4.323370069,4.247927513
ACH-001345,5.665620164,3.521050737,3.578938713,6.370513052,11.72766524,4.326249701,0.432959407,6.066519781,2.464668267,2.709290636
ACH-001295,5.899417349,0.056583528,4.341274184,2.769771739,11.39290769,4.050501697,2.137503524,3.320484678,2.849999259,3.22650853
ACH-001562,6.9800253,6.284292026,3.253989266,6.560409266,11.6288556,4.09085343,0.0,4.993221467,3.221877081,2.914564523
ACH-001819,6.301221805,0.111031312,3.734438666,6.504143652,11.21140164,4.669593751,3.368768349,4.09592442,2.722466024,3.305970521
ACH-001796,4.8928767,5.030336078,4.433627167,5.18030702,12.27824617,3.044394119,5.206330648,3.979110755,1.914564523,1.422233001
ACH-001711,6.149137401,0.286881148,3.607626221,5.994579724,11.79429401,4.809414444,6.926355303,3.709290636,2.648465443,2.275007048
ACH-000568,4.188242656,1.150559677,3.289834465,5.488964817,12.1448494,2.411426246,2.397802962,4.759155834,1.929790998,1.871843649
ACH-000719,3.401903472,5.268658955,2.761285273,5.960697039,11.5934845,2.408711861,0.422233001,3.176322773,1.59454855,2.427606173
ACH-001674,6.149543909,3.641546029,5.230741003,0.014355293,12.39927792,4.808385051,5.30633516,4.539779192,2.680324357,3.046141782
ACH-001843,6.177917792,1.608809243,2.813524689,5.678635348,12.01499682,4.970853654,0.0,5.901108243,2.304511042,2.784503983
ACH-001524,5.45779126,5.784242222,2.053111336,2.580145484,11.3416856,4.325530332,5.714245518,4.615887074,4.551516018,3.196921734
ACH-000778,2.438292852,7.720894052,4.980482356,7.15704371,12.57676776,4.200849575,4.08491466,5.151371776,3.590961241,2.5360529
ACH-001848,4.842978832,4.99004722,2.6622055,3.777156666,11.83869182,3.443606651,0.0,4.440287821,2.906890596,2.500802053
ACH-001096,2.150559677,3.084064265,4.234194723,6.04745114,12.65253131,4.327687364,5.324090516,3.934516502,3.522306893,3.019701914
ACH-001360,4.787641414,6.66860138,4.66448284,4.771885579,11.92262157,2.992768431,7.435628594,6.668459557,1.906890596,2.587364991
ACH-001375,5.560714954,5.49441561,5.37816478,5.701549057,11.63617144,4.042644337,0.124328135,4.465321514,4.037382222,2.957914599
ACH-001228,6.156841525,4.260025656,4.627606838,5.159467729,11.32125167,4.328405659,6.965091625,3.683696454,4.207892852,3.046141782
ACH-001845,5.23878686,6.536208355,4.358255587,6.447083226,10.72032977,4.885086225,0.0,4.651912745,3.261530815,2.89917563
