Sample_ID,Tissue,Lineage,Disease
ACH-001557,Lung,Hematopoietic,Cancer
ACH-001278,Prostate,Hematopoietic,Normal
ACH-001856,Breast,Epithelial,Cancer
ACH-001484,Colon,Hematopoietic,Cancer
ACH-001510,Lung,Epithelial,Cancer
ACH-001650,Breast,Epithelial,Normal
ACH-001067,Breast,Hematopoietic,Normal
ACH-001322,Leukemia,Epithelial,Cancer
ACH-000484,Prostate,Hematopoietic,Normal
ACH-000516,Colon,Mesenchymal,Cancer
ACH-001302,Lung,Epithelial,Cancer
ACH-001106,Leukemia,Mesenchymal,Normal
ACH-001461,Prostate,Hematopoietic,Cancer
ACH-001275,Leukemia,Mesenchymal,Normal
ACH-000726,Prostate,Mesenchymal,Normal
ACH-001277,Prostate,Hematopoietic,Cancer
ACH-000949,Colon,Mesenchymal,Cancer
ACH-001279,Prostate,Mesenchymal,Normal
ACH-001645,Leukemia,Hematopoietic,Cancer
ACH-001624,Prostate,Mesenchymal,Cancer
ACH-001303,Colon,Hematopoietic,Cancer
ACH-001568,Colon,Mesenchymal,Normal
ACH-001750,Leukemia,Hematopoietic,Normal
ACH-000439,Breast,Hematopoietic,Cancer
ACH-002016,Breast,Mesenchymal,Normal
ACH-000206,Prostate,Mesenchymal,Normal
ACH-001283,Lung,Mesenchymal,Normal
ACH-002001,Prostate,Epithelial,Normal
ACH-001270,Leukemia,Epithelial,Normal
ACH-001183,Leukemia,Epithelial,Cancer
ACH-001336,Leukemia,Hematopoietic,Cancer
ACH-002005,Leukemia,Mesenchymal,Cancer
ACH-001458,Leukemia,Hematopoietic,Normal
ACH-000917,Colon,Epithelial,Normal
ACH-001651,Breast,Mesenchymal,Cancer
ACH-002003,Leukemia,Hematopoietic,Normal
ACH-000489,Lung,Mesenchymal,Cancer
ACH-001559,Lung,Hematopoietic,Cancer
ACH-001280,Lung,Mesenchymal,Cancer
ACH-001556,Lung,Epithelial,Normal
ACH-000002,Colon,Epithelial,Normal
ACH-001132,Lung,Mesenchymal,Cancer
ACH-001034,Leukemia,Hematopoietic,Cancer
ACH-000230,Prostate,Epithelial,Cancer
ACH-001715,Lung,Epithelial,Cancer
ACH-000197,Colon,Epithelial,Normal
ACH-001521,Colon,Mesenchymal,Normal
ACH-000649,Lung,Mesenchymal,Cancer
ACH-001802,Prostate,Hematopoietic,Cancer
ACH-001554,Lung,Hematopoietic,Normal
ACH-000970,Colon,Hematopoietic,Normal
ACH-001494,Breast,Mesenchymal,Cancer
ACH-001538,Leukemia,Mesenchymal,Cancer
ACH-000626,Colon,Hematopoietic,Cancer
ACH-000125,Lung,Hematopoietic,Normal
ACH-001109,Leukemia,Mesenchymal,Normal
ACH-001111,Lung,Hematopoietic,Normal
ACH-000271,Lung,Epithelial,Cancer
ACH-001289,Breast,Mesenchymal,Cancer
ACH-001670,Leukemia,Hematopoietic,Normal
ACH-001567,Leukemia,Mesenchymal,Normal
ACH-001536,Breast,Epithelial,Cancer
ACH-000765,Colon,Mesenchymal,Normal
ACH-001368,Lung,Mesenchymal,Normal
ACH-001038,Prostate,Mesenchymal,Cancer
ACH-001380,Lung,Mesenchymal,Normal
ACH-001353,Lung,Epithelial,Cancer
ACH-002004,Colon,Mesenchymal,Cancer
ACH-001345,Lung,Mesenchymal,Cancer
ACH-001295,Breast,Hematopoietic,Cancer
ACH-001562,Breast,Mesenchymal,Cancer
ACH-001819,Leukemia,Hematopoietic,Cancer
ACH-001796,Prostate,Epithelial,Cancer
ACH-001711,Lung,Epithelial,Normal
ACH-000568,Lung,Epithelial,Cancer
ACH-000719,Colon,Epithelial,Cancer
ACH-001674,Breast,Hematopoietic,Normal
ACH-001843,Prostate,Mesenchymal,Normal
ACH-001524,Leukemia,Epithelial,Normal
ACH-000778,Breast,Mesenchymal,Cancer
ACH-001848,Leukemia,Hematopoietic,Normal
ACH-001096,Colon,Hematopoietic,Cancer
ACH-001360,Colon,Hematopoietic,Cancer
ACH-001375,Lung,Epithelial,Cancer
ACH-001228,Prostate,Mesenchymal,Cancer
ACH-001845,Leukemia,Mesenchymal,Normal
